Mês	SELIC	IPCA	DÓLAR
fev/16	14,25%	10,36%	3,96
mar/16	14,25%	9,39%	3,78
abr/16	14,25%	9,28%	3,57
mai/16	14,25%	9,32%	3,55
jun/16	14,25%	8,84%	3,41
jul/16	14,25%	8,74%	3,28
ago/16	14,25%	8,97%	3,2
set/16	14,25%	8,48%	3,27
out/16	14,00%	7,87%	3,18
nov/16	14,00%	6,99%	3,34
dez/16	13,75%	6,29%	3,37
jan/17	13,00%	5,35%	3,2
fev/17	12,25%	4,76%	3,1
mar/17	12,25%	4,57%	3,13
abr/17	11,25%	4,08%	3,15
mai/17	11,25%	3,60%	3,26
jun/17	10,25%	3,00%	3,28
jul/17	9,25%	2,71%	3,22
ago/17	9,25%	2,46%	3,16
set/17	8,25%	2,54%	3,14
out/17	7,50%	2,70%	3,21
nov/17	7,50%	2,80%	3,27
dez/17	7,00%	2,95%	3,28
jan/18	7,00%	2,86%	3,22
fev/18	6,75%	2,84%	3,24
mar/18	6,50%	2,68%	3,28
abr/18	6,50%	2,76%	3,41
mai/18	6,50%	2,86%	3,64
jun/18	6,50%	4,39%	3,82
jul/18	6,50%	4,48%	3,82
ago/18	6,50%	4,19%	3,95
set/18	6,50%	4,53%	4,09
out/18	6,50%	4,56%	3,82
nov/18	6,50%	4,05%	3,81
dez/18	6,50%	3,75%	3,88
jan/19	6,50%	3,78%	3,77
fev/19	6,50%	3,89%	3,72
mar/19	6,50%	4,58%	3,88
abr/19	6,50%	4,94%	3,91
mai/19	6,50%	4,66%	4,02
jun/19	6,50%	3,37%	3,87
jul/19	6,50%	3,22%	3,8
ago/19	6,00%	3,43%	4
set/19	5,50%	2,89%	4,11
out/19	5,00%	2,54%	4,08
nov/19	5,00%	3,27%	4,12
dez/19	4,50%	4,31%	4,13
jan/20	4,50%	4,19%	4,15
fev/20	4,25%	4,01%	4,36
mar/20	3,75%	3,30%	4,85
abr/20	3,75%	2,40%	5,4
mai/20	3,00%	1,88%	5,62
jun/20	2,25%	2,13%	5,16
jul/20	2,25%	2,31%	5,28
ago/20	2,00%	2,44%	5,44
set/20	2,00%	3,14%	5,44
out/20	2,00%	3,92%	5,65
nov/20	2,00%	4,31%	5,5
dez/20	2,00%	4,52%	5,17
jan/21	2,00%	4,56%	5,32
fev/21	2,00%	5,20%	5,46
mar/21	2,75%	6,10%	5,66
abr/21	2,75%	6,76%	5,54
mai/21	3,50%	8,06%	5,34
jun/21	4,25%	8,35%	5,06
jul/21	4,25%	8,99%	5,13
ago/21	5,25%	9,68%	5,29
set/21	6,25%	10,25%	5,31
